Name,Age,last_3_yr_avg,predicted_minutes
Maxi Kleber,29.0,1577.6666666666667,1375.8930446827055
Thomas Bryant,23.0,971.3333333333334,1183.6351551677287
Kemba Walker,30.0,1991.3333333333333,1654.3826702761185
Royce O'Neale,27.0,1987.0,1793.8386727581526
RJ Barrett,20.0,2107.5,2222.2031453575437
Alex Caruso,26.0,974.0,1042.8652377540743
Delon Wright,28.0,1672.3333333333333,1498.1474732334882
De'Anthony Melton,22.0,1065.3333333333333,1305.3640177458633
Daniel Theis,28.0,1358.3333333333333,1250.605900116221
Monte Morris,25.0,1600.6666666666667,1584.5213124780616
Trae Young,22.0,2249.3333333333335,2238.7691851689347
JaMychal Green,30.0,1266.0,1082.5668920349578
LaMelo Ball,19.0,1469.0,1766.4663954885502
Seth Curry,30.0,1537.6666666666667,1296.735025889069
Mason Plumlee,30.0,1429.0,1211.0677723474246
Cedi Osman,25.0,1954.6666666666667,1863.5968439542162
DeAndre Jordan,32.0,1509.0,1178.8875681957018
De'Andre Hunter,23.0,1348.0,1480.5799297139197
Mo Bamba,22.0,789.6666666666666,1088.0424880558635
JaMychal Green,30.0,1266.0,1082.5668920349578
Tyus Jones,24.0,1338.0,1425.0723796894488
Ivica Zubac,23.0,1325.0,1462.4479036575594
T.J. McConnell,28.0,1530.6666666666667,1386.4647040457614
Patrick Williams,19.0,1983.0,2171.677760400255
Darius Garland,21.0,1807.0,1937.680222751652
Juan Hernangómez,25.0,1030.3333333333333,1134.89962287759
Chris Boucher,28.0,811.6666666666666,819.641802544758
D.J. Augustin,33.0,1606.0,1207.733356781255
P.J. Tucker,35.0,2208.3333333333335,1587.3340921993388
Zach Collins,22.0,897.0,1172.6586096522117
Wendell Carter Jr.,21.0,1247.0,1496.2048057272266
Isaac Okoro,20.0,2173.0,2273.840002170222
Cameron Payne,26.0,658.0,793.7469667188628
Joakim Noah,34.0,261.0,99.77994652891266
Jarrett Culver,21.0,1002.5,1303.4534852585264
Khem Birch,28.0,1031.3333333333333,992.8157905323153
Collin Sexton,22.0,2287.6666666666665,2268.989228596202
Onyeka Okongwu,20.0,601.0,1034.555438665942
Justin Holiday,31.0,2205.3333333333335,1775.4652870614182
Avery Bradley,30.0,1231.0,1054.9746784709312
Rudy Gay,34.0,1553.6666666666667,1118.8523674936284
Patty Mills,32.0,1692.6666666666667,1323.6809936602604
Dennis Schröder,27.0,2089.6666666666665,1874.7758325459638
Kevin Knox,21.0,1262.6666666666667,1508.5556060844576
Coby White,20.0,1915.0,2070.4459707553974
Timofey Mozgov,31.0,929.6666666666666,769.7947983992295
Killian Hayes,19.0,670.0,1136.5755772697717
Mikal Bridges,24.0,2269.0,2159.0252604925563
Shai Gilgeous-Alexander,22.0,1927.3333333333333,1984.9208203798898
Miles Bridges,22.0,1874.3333333333333,1943.138325554364
Jaxson Hayes,20.0,1022.0,1366.450350393233
Pat Connaughton,28.0,1359.6666666666667,1251.6570320615174
Michael Porter Jr.,22.0,1407.5,1575.1107532075139
Ryan Anderson,31.0,687.0,578.4887843553119
Hamidou Diallo,22.0,882.6666666666666,1161.358941240277
Kevon Looney,24.0,968.0,1133.3832648697392
Troy Brown Jr.,21.0,1012.0,1310.9428003687622
Obi Toppin,22.0,683.0,1003.9519324321634
Kris Dunn,26.0,901.0,985.3157637491046
Josh Jackson,23.0,1309.6666666666667,1450.3598862866525
JaVale McGee,33.0,1159.6666666666667,855.866938093335
Robin Lopez,32.0,1306.0,1018.8527295243475
Kendrick Nunn,25.0,1806.0,1746.3956320536843
Lou Williams,34.0,1760.0,1281.5150360282232
Luol Deng,33.0,630.3333333333334,438.5675558107232
Rui Hachimura,22.0,1620.5,1743.02908146859
Garrett Temple,34.0,1766.0,1286.2451297820564
Cory Joseph,29.0,1756.0,1516.4819423660792
Taj Gibson,35.0,1215.6666666666667,804.7663589262796
Torrey Craig,30.0,1126.0,972.1980377788514
Rajon Rondo,34.0,1041.0,714.6921345272198
Bruce Brown,24.0,1511.3333333333333,1561.7195325779614
Deni Avdija,20.0,1257.0,1551.7123557516975
Donte DiVincenzo,24.0,1248.3333333333333,1354.383756368276
Cam Reddish,21.0,1150.5,1420.1291311864104
David Nwaba,28.0,643.6666666666666,687.1991774374303
Furkan Korkmaz,23.0,1100.0,1285.069387888817
Bryn Forbes,27.0,1742.0,1600.6931778099663
Jeff Green,34.0,1630.6666666666667,1179.555237334487
Ish Smith,32.0,1320.6666666666667,1030.4151809226064
Jalen Smith,20.0,156.0,683.7401519233179
Lonnie Walker,22.0,876.0,1156.1032815137958
Cameron Johnson,24.0,1346.0,1431.3791713612263
Maurice Harkless,27.0,1204.6666666666667,1177.0870038555772
Bobby Portis,25.0,1354.6666666666667,1390.5874685709032
Jarred Vanderbilt,21.0,418.0,842.6635187392823
Kevin Huerter,22.0,1978.0,2024.8638343011476
Devin Vassell,20.0,1056.0,1393.2542149982876
P.J. Washington,22.0,1856.5,1929.0794357860266
Willie Cauley-Stein,27.0,1405.3333333333333,1335.2823616226628
Josh Okogie,22.0,1500.3333333333333,1648.2958148987655
Grayson Allen,25.0,797.6666666666666,951.4770984233942
Tyrese Haliburton,20.0,1746.0,1937.2149966890975
Tyler Herro,21.0,1571.5,1752.0240429137016
Terence Davis,23.0,1141.5,1317.7858696861629
George Hill,34.0,1081.6666666666667,746.7516588587555
Dorian Finney-Smith,27.0,2008.6666666666667,1810.9195668692166
Gorgui Dieng,31.0,893.0,740.8886699035827
Aaron Holiday,24.0,1146.3333333333333,1273.9721625531126
Jake Layman,26.0,819.6666666666666,921.1967150860332
Anfernee Simons,21.0,898.0,1221.0710190459326
Justise Winslow,24.0,939.3333333333334,1110.7839280458697
Danuel House,27.0,1274.6666666666667,1232.2714309836304
Jevon Carter,25.0,746.3333333333334,911.0085185294886
Kira Lewis Jr.,19.0,904.0,1321.0492336692637
Romeo Langford,21.0,326.5,770.529588993327
Bobby Portis,25.0,1354.6666666666667,1390.5874685709032
Facundo Campazzo,29.0,1425.0,1255.5384369462847
Landry Shamet,23.0,1552.3333333333333,1641.6659003305701
Alex Len,27.0,1164.3333333333333,1145.2902625103654
Gabriel Deck,25.0,212.0,489.7673914520158
Robert Williams,23.0,552.0,853.0541583720577
Aaron Nesmith,21.0,669.0,1040.5391074413014
Boban Marjanović,32.0,458.0,350.33281231593173
Mike Muscala,29.0,841.0,795.1426449065267
Cole Anthony,20.0,1273.0,1564.3259390952524
Trey Burke,28.0,852.0,851.4385438899695
Georges Niang,27.0,864.3333333333334,908.7855748187089
Chuma Okeke,22.0,1133.0,1358.7089639696483
Isaiah Stewart,19.0,1455.0,1755.4295100629397
Nickeil Alexander-Walker,22.0,799.0,1095.4004116729373
Nicolas Batum,32.0,1564.6666666666667,1222.7723269118203
Jon Leuer,29.0,827.3333333333334,784.3685424672401
Aleksej Pokusevski,19.0,1090.0,1467.682140038091
Goga Bitadze,21.0,516.0,919.9217167185567
Sterling Brown,25.0,1010.0,1118.8698607118222
Michael Carter-Williams,29.0,668.3333333333334,659.0210579906621
Frank Jackson,22.0,901.3333333333334,1176.0747884744246
Ryan Arcidiacono,26.0,1113.6666666666667,1152.9713090238567
Josh Green,20.0,445.0,911.5730010662804
Dewayne Dedmon,31.0,864.3333333333334,718.2893330797133
Andrew Nicholson,27.0,552.3333333333334,662.8206996193861
Matisse Thybulle,23.0,1292.5,1436.8265624909632
Saddiq Bey,21.0,1909.0,2018.0918165668154
Brandon Clarke,24.0,1357.5,1440.4451843894064
Precious Achiuwa,21.0,737.0,1094.1468366514105
Patrick Patterson,31.0,739.6666666666666,620.0084961945138
E'Twaun Moore,31.0,957.3333333333334,791.6057862641268
Udonis Haslem,40.0,40.333333333333336,-359.9267530261104
Markieff Morris,31.0,1219.0,997.8904305285162
DeAndre Jordan,32.0,1509.0,1178.8875681957018
Rajon Rondo,34.0,1041.0,714.6921345272198
Dwight Howard,35.0,910.6666666666666,564.3199264397621
Wayne Ellington,33.0,955.6666666666666,695.0437504630085
Trevor Ariza,35.0,1561.0,1077.0095327580086
Carmelo Anthony,36.0,1295.3333333333333,819.9474322229818
Andre Iguodala,37.0,1111.6666666666667,627.5299463236743
Paul Millsap,35.0,1432.3333333333333,975.5753000369203
LaMarcus Aldridge,35.0,1705.0,1190.5317828500038
Blake Griffin,31.0,1440.0,1172.1155504613698
James Johnson,33.0,942.0,684.2696480237219
Enes Kanter,28.0,1460.3333333333333,1331.0174939313843
Avery Bradley,30.0,1231.0,1054.9746784709312
Ed Davis,31.0,682.6666666666666,575.072605533099
Grant Williams,22.0,1090.5,1325.2041332133301
Tyrese Maxey,20.0,935.0,1297.8639909626527
Darius Bazley,20.0,1422.0,1681.7899339821086
Dante Exum,25.0,421.6666666666667,655.0578898498513
Trey Lyles,25.0,916.3333333333334,1045.0278415547605
Zeke Nnaji,20.0,397.0,873.7322510356154
